item_id,genres,description
1,genreA,This is a description for item 1 belonging to genres genreA.
2,genreE;genreB;genreD,"This is a description for item 2 belonging to genres genreE, genreB, genreD."
3,genreB,This is a description for item 3 belonging to genres genreB.
4,genreB;genreD,"This is a description for item 4 belonging to genres genreB, genreD."
5,genreC,This is a description for item 5 belonging to genres genreC.
6,genreD;genreE,"This is a description for item 6 belonging to genres genreD, genreE."
7,genreE;genreD,"This is a description for item 7 belonging to genres genreE, genreD."
8,genreD,This is a description for item 8 belonging to genres genreD.
9,genreA;genreC,"This is a description for item 9 belonging to genres genreA, genreC."
10,genreB,This is a description for item 10 belonging to genres genreB.
11,genreC;genreD,"This is a description for item 11 belonging to genres genreC, genreD."
12,genreE;genreB;genreD,"This is a description for item 12 belonging to genres genreE, genreB, genreD."
13,genreE;genreB,"This is a description for item 13 belonging to genres genreE, genreB."
14,genreE;genreA,"This is a description for item 14 belonging to genres genreE, genreA."
15,genreC,This is a description for item 15 belonging to genres genreC.
16,genreE;genreD;genreA,"This is a description for item 16 belonging to genres genreE, genreD, genreA."
17,genreD,This is a description for item 17 belonging to genres genreD.
18,genreE,This is a description for item 18 belonging to genres genreE.
19,genreB;genreC;genreD,"This is a description for item 19 belonging to genres genreB, genreC, genreD."
20,genreD;genreB;genreE,"This is a description for item 20 belonging to genres genreD, genreB, genreE."
21,genreE;genreA,"This is a description for item 21 belonging to genres genreE, genreA."
22,genreD;genreA;genreE,"This is a description for item 22 belonging to genres genreD, genreA, genreE."
23,genreC;genreD,"This is a description for item 23 belonging to genres genreC, genreD."
24,genreD;genreE,"This is a description for item 24 belonging to genres genreD, genreE."
25,genreB;genreC;genreD,"This is a description for item 25 belonging to genres genreB, genreC, genreD."
26,genreA;genreD;genreE,"This is a description for item 26 belonging to genres genreA, genreD, genreE."
27,genreC,This is a description for item 27 belonging to genres genreC.
28,genreE;genreA;genreD,"This is a description for item 28 belonging to genres genreE, genreA, genreD."
29,genreB,This is a description for item 29 belonging to genres genreB.
30,genreE;genreB,"This is a description for item 30 belonging to genres genreE, genreB."
31,genreA;genreE,"This is a description for item 31 belonging to genres genreA, genreE."
32,genreD;genreA,"This is a description for item 32 belonging to genres genreD, genreA."
33,genreC,This is a description for item 33 belonging to genres genreC.
34,genreB,This is a description for item 34 belonging to genres genreB.
35,genreD;genreB,"This is a description for item 35 belonging to genres genreD, genreB."
36,genreE;genreB,"This is a description for item 36 belonging to genres genreE, genreB."
37,genreC;genreE,"This is a description for item 37 belonging to genres genreC, genreE."
38,genreA;genreB;genreC,"This is a description for item 38 belonging to genres genreA, genreB, genreC."
