user_id,item_ids_sequence
1,59 62 87 50 61 76 65 16 4 56 81 3 47 5
2,63 32 39 43 94 49 16 76 59 92 77
3,18 47 97 40 65 53 38 16 16 30 84 11 67 30
4,91 31 84 58 13
5,23 79 30 25 91 49 21 38 74 10
6,91 56 68 97 77 35 66 87 66 37
7,20 26 74 51 47 62 92 36
8,79 85 64 69 74 49 17 34 31 49 15 94
9,23 69 67 60 15 26 1 15 30 45 20 14 48 75 13 68
10,50 16 57 4 10 54 53 51 9
11,63 41 79 79 36 45 6 83 16
12,26 69 3 39 56 17 76 95 40 34 5 52 69 15 29 34 22
13,6 69 64 41 49 96 76 48 2 69 32 39
14,22 71 23 65 51 27 5 71 12 13 56
15,12 60 51 58 1 81 45 20 73 13 22 11
16,90 71 65 55 19 26 33 68 24 99 100 29 25
17,79 99 42 5 54 83 89 35 75 41 13 1
18,26 14 44 12 76 93 12 80 11 41 65 58 50 87
19,46 90 62 71 94 91 24 88
20,28 22 44 72 78 90 60 11 31 26 84 93 46
21,62 81 50 25 6 32 22 78
22,76 66 57 5 26 100 19 34
23,81 24 33 73 73 37 21 67 22 43 94 72 26 24
24,9 7 94 59 83 52 82 61
25,88 93 45 44 47 13 37 22
26,68 27 45 7 71 63 67 75 18 22
27,23 84 84 31 98 16
28,25 19 1 45 7 80 4 69 29 63 76 95 2
29,11 31 73 25 60 57 88 35 60 13 92 92 90
30,4 96 68 30 29 85 95 46 90
31,27 39 85 60 53 68 85 89 77 46
32,48 40 57 8 44 37 28 6 23 81 67 13 3
33,6 28 93 79 84 69
34,1 80 39 48 13 35 25 34
35,87 56 84 6 85 62 10 83 86 99
36,100 43 56 62 15 86 36 39 16 24 84 87
37,22 97 59 70 24 86 16 59 78 26
38,70 14 5 46 94 57 9 50 31 31 39 16
39,42 70 55 84 51 19 63 57 68 89 36
40,13 41 71 42 25 95 49 51 59 41 79 16
41,14 70 21 40 13 21 59 20 89
42,76 80 15 56 11 22 20 3 68
43,9 36 25 21 27 3 32
44,27 9 11 47 11 79 62 74 96 59 36
45,23 97 93 73 67 16 77 8 78 8 30
46,32 65 83 37 36 12 3 6 18 3 72 4 1 54 25
47,51 51 37 23 66
48,91 7 24 22 49 11 21 19 15 84 3
49,9 7 5 46 2 34 80 55 93 79
50,72 40 95 89 25 8 68
51,88 29 35 19 26 77 78 88 86 29 72
52,65 28 80 20 57 23 19 64 82
53,56 67 77 79 36 70 4
54,46 60 3 13 30 8 98 60 48 8
55,53 24 78 15 49 17 84 89 37 70 18 23 91 5 49 13
56,25 90 54 98 32 79 59 99 52 23 36 13 46
57,3 96 98 70 20 91 56 70 19 46
58,16 16 15 35 64 52 17 77 27 54
59,74 87 72 95 7 29 96 12 56 5 41
60,39 36 100 8 96 87 89
61,94 65 11 51 25
62,23 44 20 28 8 94 61 15 43 63 26
63,89 46 73 51 34 4 59 77 75 86 47 64
64,40 47 7 13 57 61 79 40 2
65,65 8 96 22 56 25 99 83 29 21 12 61 15 40 25 53 12
66,55 58 23 67 29 19 10 72 82 84 10 75
67,84 11 82 48 49 29 69
68,66 82 61 19 20 5 32 46 53 79
69,86 65 34 1 13 67 100 34
70,44 18 16 8 10 93 46 69 43 88
71,95 43 84 27 27 66 36 28 82 60 44 18 44
72,78 69 20 26 21 29 95 11 23
73,50 93 32 72 21 22 10 87 63 28 94 66
74,15 98 64 49 58
75,38 37 94 38 22 42 7 65 62 66 76 68 84 48 6 63 39
76,14 90 40 32 82 83 21 9 6
77,98 96 22 10 42 57 100
78,93 56 77 5 71 85 1 77 2 24 71 81
79,81 84 84 89 63 15 60
80,39 47 79 4 98 13 88 84 50 26 66 75 73
81,31 58 3 28 17 17 64 10 72 27
82,40 54 2 30 31 35 62 73 47 75
83,12 1 55 76 94 76 25 8 26 9 42 5
84,40 64 66 44 94 40 80 39 84 15 30 44
85,72 36 94 34 23 58 71 1
86,11 39 78 45 7 17 89 16 24 31 56 85 99 29
87,2 70 31 96 26 78 89 47
88,5 26 1 95 69 28 93 81 2 25 30
89,34 74 85 8 62 15
90,84 74 14 19 4 20 31 21 18 22 81 14
91,92 26 96 80 88 50 15 53
92,91 40 99
93,99 1 94 2 33 78 26 96 100 62 31 75
94,67 14 80 76 69 92 87
95,47 23 98 96 31 49 22 89 7 78 40 43 16 78 84
96,15 30 43 29 82 62 14 11 40 81 2 8 5 39
97,11 46 44 31 21 4 36 69 35 1 97 30 78
98,92 4 33 92 45 48
99,33 90 72 5 86 42 71
100,4 63 20 54 37 51 94 84 64 98 10 32 21
101,63 36 6 24 66 44 7 25
102,17 9 94 37 10 57 7 38
103,47 18 5 3 87 38 98 41 70
104,56 68 14 44 82 92 79
105,42 21 17 42 90 29 79 97 21
106,20 6 27 84 36 16 17 83
107,72 32 80 35 21 34 56 7 23 23 28
108,70 14 17 65 30
109,84 54 82 28 22 71 57
110,36 92 51 17 91 27 1 63 67 90 6
111,60 22 29 87 34 99 3 6 90 6 73 6
112,2 57 25 49 87 70 49 39 52 61 67 52 42 2 14 11 50 90 18 2
113,81 72 77 72 56 32 71 37 58 50 44 28 77
114,56 63 68 54 71 30 73 90 9
115,50 17 95 67 61 17 92 99 99 99
116,84 10 57 56
117,30 1 30 25 9 15 15
118,38 17 4 4 80 77
119,21 37 78 59 17 15 29
120,22 44 36 51 22 48
121,36 59 34 29 91 94 19 85 79 85 4 37
122,58 28 26 4 99 54 71 26 85 16 95
123,17 47 26 10 99
124,19 77 47 5 23 82 58 71
125,24 45 16 48 66 69 97 66
126,7 41 62 35 14 12 32 55 70 76 62 84 90 83
127,84 21 90 59 74 49 32 12 44 68 96
128,75 21 63 5 62 48 33 71 58 96 64 75
129,15 55 40 21 29 83
130,11 48 32 72 13 46 58 56 41 67 90 15
